node_id,canonical_text,top_signals_state,top_signals_matter,top_signals_movement,embedding_ok
0c5c54c4-92bf-4d2b-8e84-833bcc4c4de4,"state: melancólico, reflexivo, misterioso | matter: neblina, fumaça, vinil | movement: sussurrar, diluir, ondular","melancólico|reflexivo|misterioso","neblina|fumaça|vinil","sussurrar|diluir|ondular",true
c374c250-2e51-4b59-906d-3bd36e009aa8,"state: lúdico, brilhante, descolado | matter: holográfico, prateado, iridescente | movement: cintilar, ondular, brilhar","lúdico|brilhante|descolado","holográfico|prateado|iridescente","cintilar|ondular|brilhar",true
009e1ba9-0676-4a07-99df-cbb5564f3c57,"state: caótico, vertiginoso, fragmentado | matter: vidro quebrado, energia vibrante, metais frios | movement: girando, pulsando, rasgando","caótico|vertiginoso|fragmentado","vidro quebrado|energia vibrante|metais frios","girando|pulsando|rasgando",true
c3cd49f1-d0e2-478b-ab04-8e079f1b513b,"state: nostálgico, energético, urbano | matter: vinil brilhante, luz de neon, energia sonora | movement: pulsa, brilha, vibra","nostálgico|energético|urbano","vinil brilhante|luz de neon|energia sonora","pulsa|brilha|vibra",true
5401cb7c-08da-446a-b4c1-40989be206ca,"state: intrigante, distrativo, artístico | matter: papel, tinta, fio | movement: sobrepor, empilhar, desdobrar","intrigante|distrativo|artístico","papel|tinta|fio","sobrepor|empilhar|desdobrar",true
90c72c62-9fdd-4ca2-bc89-b327b78c5fc0,"state: intenso, enigmático, urbano | matter: tinta vibrante, papel texturizado, informação gráfica | movement: sobrepor, fragmentar, comunicar","intenso|enigmático|urbano","tinta vibrante|papel texturizado|informação gráfica","sobrepor|fragmentar|comunicar",true
a78037ec-26b1-4540-a7c6-afe34f390975,"state: descolado, informativo, descontraído | matter: tinta, papel, energia | movement: anunciar, desdobrar, informar","descolado|informativo|descontraído","tinta|papel|energia","anunciar|desdobrar|informar",true
5e238faf-b677-483a-8b3a-e1c4fcf6479f,"state: intenso, confrontador, declarativo | matter: tinta, papel, impacto | movement: chocar, impor, revelar","intenso|confrontador|declarativo","tinta|papel|impacto","chocar|impor|revelar",true
27891bd3-a828-45a4-bf5a-6b7a8105565c,"state: estático, técnico, informativo | matter: pixels, dados, sinais | movement: exibir, registrar, processar","estático|técnico|informativo","pixels|dados|sinais","exibir|registrar|processar",true
291bb266-687f-4ca1-a7da-e45c010d7790,"state: intense, vibrant, chaotic | matter: ink, paper, ink stain | movement: staring, pulsing, layering","intense|vibrant|chaotic","ink|paper|ink stain","staring|pulsing|layering",true
f5082190-f6b3-468f-bda3-6ba9e8c519ea,"state: fragmentado, glitch, nostálgico | matter: pixels, glitch, óleo | movement: falhando, corrompendo, sobrepondo","fragmentado|glitch|nostálgico","pixels|glitch|óleo","falhando|corrompendo|sobrepondo",true
7b8541cc-1220-4842-92e7-d8bf682b7741,"state: nostálgico, informativo, retro | matter: plástico, vidro, luz | movement: exibir, carregar, processar","nostálgico|informativo|retro","plástico|vidro|luz","exibir|carregar|processar",true
77d039a0-1709-4794-9cde-07991ce82833,"state: caótico, efervescente, fragmentado | matter: papel rasgado, tinta spray, colagem digital | movement: sobrepor, cortar, reorganizar","caótico|efervescente|fragmentado","papel rasgado|tinta spray|colagem digital","sobrepor|cortar|reorganizar",true
9836cde7-2b04-410a-bbe8-5ddba64d38b7,"state: preciso, ordenado, sintético | matter: plástico, digital, sintético | movement: deslizar, ancorar, escanear","preciso|ordenado|sintético","plástico|digital|sintético","deslizar|ancorar|escanear",true
71ce5603-a6ce-4357-9eeb-26d9b70a8e24,"state: impactante, desafiador, abstrato | matter: tinta densa, espaço negativo, contorno | movement: escalar, interligar, contornar","impactante|desafiador|abstrato","tinta densa|espaço negativo|contorno","escalar|interligar|contornar",true
580216a0-1ede-4f95-9213-f9b16ceb6e0f,"state: formal, declarative, organized | matter: ink, paper, digital | movement: imposing, labeling, cataloging","formal|declarative|organized","ink|paper|digital","imposing|labeling|cataloging",true
45728069-60a2-44b9-bcbf-a516dbebb011,"state: orgânico, propagante, fragmentado | matter: esporos, tinta, poeira | movement: crescendo, espalhando, brotando","orgânico|propagante|fragmentado","esporos|tinta|poeira","crescendo|espalhando|brotando",true
9bb8de15-9509-476d-bfe3-07958868bd36,"state: intenso, urgente, informativo | matter: luz neon, onda digital, fluxo de dados | movement: pulsar, transmitir, bombardear","intenso|urgente|informativo","luz neon|onda digital|fluxo de dados","pulsar|transmitir|bombardear",true
3a1a67ed-71b8-483d-bc7f-611710594bba,"state: vibrante, informativo, cultural | matter: grão dourado, tinta fosca, papel texturizado | movement: pulsar, fluir, circular","vibrante|informativo|cultural","grão dourado|tinta fosca|papel texturizado","pulsar|fluir|circular",true
761e88eb-94c6-4af5-a0fc-f2e54de1a128,"state: organizado, coletivo, estilizado | matter: plástico, papel, ar | movement: deslizando, sobrepondo, organizando","organizado|coletivo|estilizado","plástico|papel|ar","deslizando|sobrepondo|organizando",true
b3ececeb-b9e2-4131-874c-1a9e8afaa69c,"state: caótico, fragmentado, urgente | matter: tinta fresca, papel rasgado, ruído visual | movement: sobrepor, sangrar, pulverizar","caótico|fragmentado|urgente","tinta fresca|papel rasgado|ruído visual","sobrepor|sangrar|pulverizar",true
d355b2ea-0ffb-4e6b-9043-9bd957f8fa2f,"state: enérgico, descontraído, divertido | matter: tinta vibrante, papel liso, memória pop | movement: saltar, dançar, chamar","enérgico|descontraído|divertido","tinta vibrante|papel liso|memória pop","saltar|dançar|chamar",true
f9102c9f-704c-4773-864b-f499ce9cef6e,"state: energético, artesanal, enigmático | matter: tinta, plástico, luz neon | movement: pulsa, borra, traça","energético|artesanal|enigmático","tinta|plástico|luz neon","pulsa|borra|traça",true
129f7722-1cbb-47a7-933c-f53e2380b00a,"state: digital, futurista, funcional | matter: pixels, papel, circuito | movement: escanear, processar, deslizar","digital|futurista|funcional","pixels|papel|circuito","escanear|processar|deslizar",true
81b7ffce-c586-4e5a-ae1d-7ce76356a1fd,"state: evocativo, refinado, moderno | matter: luz, design, elegância | movement: flutuar, surgir, revelar","evocativo|refinado|moderno","luz|design|elegância","flutuar|surgir|revelar",true
e5320fb2-aec3-4d66-ab76-d75463d19466,"state: analítico, técnico, preciso | matter: circuitos, dados, esquema | movement: calculando, rotulando, processando","analítico|técnico|preciso","circuitos|dados|esquema","calculando|rotulando|processando",true
09b4f387-1616-49ed-83df-04d724d4820f,"state: tenso, frenético, urbano | matter: neon, asfalto molhado, ruído visual | movement: pulsar, desmoronar, inundar","tenso|frenético|urbano","neon|asfalto molhado|ruído visual","pulsar|desmoronar|inundar",true
7218cf32-626d-4a24-8724-b242e7b15201,"state: inquietante, caótico, agressivo | matter: tinta barata, papel velho, ruído digital | movement: gritar, ameaçar, colidir","inquietante|caótico|agressivo","tinta barata|papel velho|ruído digital","gritar|ameaçar|colidir",true
34a4fff2-8fd5-4910-ab50-6c712f8da4cd,"state: alegre, educacional, digital | matter: plástico, pixelado, vetorizado | movement: brilhando, notificando, organizando","alegre|educacional|digital","plástico|pixelado|vetorizado","brilhando|notificando|organizando",true
5ad46f54-a6e1-41cd-bef0-7b13fefd400b,"state: organizado, minimalista, informativo | matter: papel, plástico, pixels | movement: conectar, apresentar, reorganizar","organizado|minimalista|informativo","papel|plástico|pixels","conectar|apresentar|reorganizar",true
